매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,점포수,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
125163.1502,2020,골목상권,2110949,한남IC,6,1,0,0,0,0,1,0,0,618,300,1683,5,0,5,17,8,10,7,65,396526,79731,57612,59407,58948,59700,60271,52877,47711,2,0,0,0,0,62126,42421,85100,91787,70027,46985,60207,174.3725,22.3,594.38,614.17,292.83,149.0925,99.8325,1085.5625,0,0,0,0
94688.22344,2020,골목상권,2110951,신사은행나무공원,3,1,0,0,0,0,1,0,0,1039,580,273,16,5,76,41,9,5,3,22,582009,129649,85107,89345,88383,89759,89112,74083,66223,2,0,0,0,1,29000,38359,139161,153097,110939,59120,81334,174.42140520833334,22.30720833333333,594.5197416666666,614.3579874999999,292.9253458333334,149.13295520833336,99.856596875,1085.263984375,0,0,0,0
177736.4615,2020,골목상권,2110952,논현목련공원,3,1,0,0,0,0,1,0,0,879,583,117,27,1,131,89,23,8,2,3,235902,70687,34098,34125,34124,34019,33613,32730,33196,2,0,0,0,0,21629,19605,59950,59971,37953,21834,36587,174.44908079383683,22.311919670138888,594.5857915590277,614.4852199947917,292.9978147274306,149.16134393967013,99.86987045703124,1085.670761035156,0,0,0,0
34587.75458,2020,골목상권,2110954,국기원,3,1,0,0,0,0,1,0,0,497,335,636,3,0,28,2,3,0,0,1,540467,51576,75635,77314,77420,80311,84004,82246,63536,3,0,0,0,2,39798,53752,235048,117395,64711,35369,34193,174.4496845775009,22.31121630333478,594.5085356388441,614.3395888364562,293.068230483567,149.16057783297833,99.87731623638837,1086.0656238522542,0,0,0,0
221061.4832,2020,골목상권,2110955,논현초등학교,30,1,0,0,0,0,1,0,0,7080,4369,3430,175,41,975,495,132,140,68,107,2839662,749107,415057,418275,411498,411538,408607,386684,388001,10,0,0,0,2,190912,197875,719028,767691,470543,266093,418431,174.50070527940818,22.31801264346117,594.6374975286935,614.5013969984714,293.1624255796018,149.20231140707543,99.89809845148685,1086.4898178621927,0,0,0,0
156661.2839,2020,골목상권,2110957,언북중학교,6,1,0,0,0,0,1,0,0,1816,1116,1251,51,1,145,166,105,44,40,31,977352,186377,150441,160073,154636,158291,152560,105859,95493,8,0,0,0,3,94815,48672,219065,281063,190583,98851,139117,174.4075805732746,22.29564514872928,593.9219298193304,614.1103559138875,293.1491599235933,149.1553123701617,99.85472265917495,1086.823355286302,0,0,0,0
114302.1758,2020,골목상권,2110958,역삼역 4번,3,1,0,0,0,0,1,0,0,858,528,994,29,6,161,60,19,6,27,11,477623,71759,75865,81149,78223,79799,75255,47320,40011,9,0,0,0,2,73119,20707,123771,135925,88239,51344,57636,174.44150039851348,22.300351667541246,594.060230623422,614.1304018955182,293.2179720735615,149.1962104169826,99.8613287936163,1087.1957816843378,0,0,0,0
36192.9011,2020,골목상권,2110959,신구중학교,3,1,0,0,0,0,1,0,0,365,166,271,2,0,0,0,0,0,26,56,121462,20245,17793,18829,18324,18910,18504,14824,14276,8,0,0,0,0,35959,17848,18659,24404,22117,14353,24079,174.4637676903462,22.29881014740273,593.999005719515,614.180872896308,293.2747295619254,149.222542171323,99.88210434728028,1087.6337799267064,0,0,0,0
83584.97436,2020,골목상권,2110960,은광여고,3,1,0,0,0,0,1,0,0,719,417,1522,16,22,125,28,4,23,3,34,119943,30420,17692,18240,17917,18057,17336,15266,15436,4,0,0,0,1,25543,15097,19215,25724,22262,14016,23628,174.51271092688384,22.304351318297478,594.2090053052315,614.4121982600147,293.3727606992429,149.2651348972277,99.872888557425,1087.922377335009,0,0,0,0
119836.2601,2020,골목상권,2110961,언주역 3번,6,1,0,0,0,0,1,0,0,2169,1298,962,52,0,217,168,85,41,19,82,782811,153989,117576,121546,121227,121549,118337,94532,88046,3,1,0,0,1,63031,71713,157707,207178,149569,86775,109870,174.54834122310336,22.29322813134677,594.2278423907753,614.5082033426231,293.4558326828676,149.25274537010156,99.89366892765725,1088.0840116588986,0,0,0,0
38957.30037,2020,골목상권,2110963,역삼월드메르디앙아파트,3,1,0,0,0,0,1,0,0,1724,847,780,43,3,184,115,87,10,30,114,424152,125142,62875,63050,61860,62574,61564,55440,56790,1,0,0,0,1,40391,57194,72797,90346,79226,51140,73450,174.54523636527966,22.29293364306816,594.1129373251048,614.4175817606825,293.4960226131521,149.2499340140058,99.88779128971044,1088.14737999709,0,0,0,0
117776.2543,2020,골목상권,2110965,언주역 6번,7,1,0,0,0,0,1,0,0,2309,1512,1139,64,26,366,202,48,44,7,1,805042,168558,120453,125145,123193,123491,119825,97117,95819,2,0,0,0,2,65107,44913,181511,244922,150260,84984,98452,174.5446302137652,22.278889032086106,594.0379843823235,614.3469224197495,293.47706262257424,149.23253815317827,99.87399453608116,1088.122441405422,0,0,0,0
73069.81868,2020,골목상권,2110966,논현2동주민센터,6,1,0,0,0,0,1,0,0,2887,1539,1637,60,28,154,199,70,147,192,53,2182390,365530,328801,348279,343812,349006,336595,252962,222935,9,0,0,0,2,93544,164361,446229,551826,424985,255791,339198,174.52694047635427,22.264005235849478,593.7392502091495,614.2820669707577,293.5043447320004,149.24763504407542,99.8893587004712,1088.4099924226743,0,0,0,0
282864.2442,2020,골목상권,2110967,역삼역 8번,9,1,0,0,0,0,1,0,0,1307,877,377,32,7,213,85,43,8,17,6,650443,135009,97661,102253,102148,101803,99151,74394,73031,7,0,0,0,3,68671,43418,146306,190012,122609,70868,77227,174.5584100348861,22.25994857136441,593.8862248967366,614.4151011653289,293.577888208972,149.2385715586771,99.83347926659638,1088.273079919517,0,0,0,0
380182.884,2020,골목상권,2110971,선정릉역 4번,9,1,0,0,0,0,1,0,0,3836,2425,1542,130,41,815,550,128,40,27,36,839221,207050,126713,130014,127206,128308,124702,101737,100541,7,1,1,0,4,133221,41927,184770,251172,153064,92191,116098,174.54905937240062,22.24589021660248,593.6103441571103,614.3798574574811,293.6077123290591,149.25408763015992,99.85257654962412,1088.716943702817,0,0,0,0
12249.52747,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,3,1,0,0,0,0,1,0,0,1995,1013,2628,56,2,250,123,180,62,11,2,227419,67624,33203,33584,33299,33485,32407,29940,31502,2,0,0,0,0,46603,27755,40990,49508,39784,28785,40596,174.48345481380576,22.217659337526065,593.0980984671759,614.1225157314217,293.5642155425295,149.22752683333914,99.8370984565198,1088.9376590960264,0,0,0,0
123777.8022,2020,골목상권,2110974,언주중학교,6,1,0,0,0,0,1,0,0,1479,770,292,57,6,206,166,43,19,10,85,725628,186263,105929,108449,106274,108662,105254,95930,95130,2,0,0,0,0,35150,111229,121557,162034,139288,78861,112659,174.47240625331153,22.2090000289167,592.9868893415371,614.1217334463098,293.50653396567225,149.1884549695197,99.83494724754335,1088.8938831206497,0,0,0,0
